year,reclat,reclong,mass,clipped_prediction
1901,34.0,-84.8,725.0,9962.17489225481
1901,35.25,-112.5,27000.0,10023.802791970687
1901,61.18333,22.68333,14000.0,22758.835464774995
1901,63.91667,-139.33333,483.0,20895.649017672455
1902,14.18333,75.8,1293.0,6619.695314771393
1902,53.83333,97.33333,24267.0,19361.234490469564
1903,-35.98333,145.58333,9600.0,1798.7030881396238
1903,-33.61667,24.0,1173000.0,1701.161342926231
1903,-32.33333,151.2,11300.0,1992.6190400240637
1903,30.0,-109.66667,28600.0,8081.4621664778515
1903,36.9,-100.21667,161000.0,9795.289486784666
1903,37.06667,-93.55,24500.0,9902.866631281686
1903,39.1,-94.63333,36000.0,10440.879752413357
1903,40.66667,-96.75,13000.0,10861.68582161599
1904,-40.73333,146.96667,3.3,1526.3258468662875
1904,-28.88333,-66.66667,1533.0,1697.4352140711517
1905,-23.0,-69.5,3515.0,1902.4238177568252
1906,40.38333,-110.86667,22700.0,9447.245516817404
1906,41.11667,45.0,3719.0,11213.7796556348
1906,56.8,77.0,845.2,17540.89847168418
1906,67.8,23.1,230000.0,22284.56761906181
1907,5.38333,16.38333,1000.0,4061.2040948003564
1907,36.9,-76.3,23000.0,8564.013222854413
1907,42.6,-99.8,80650.0,9736.938850690034
1908,56.0,22.0,1001.0,15042.283923261282
1909,-28.83333,21.13333,549000.0,1520.3277702216021
1910,-32.08333,21.33333,2700.0,1340.9581811996413
1910,-30.58333,23.55,544.0,1398.4705878480538
1910,17.74333,120.45583,515.0,5544.202940783594
1910,45.5,-77.0,1830.0,9553.230568320303
1910,52.86667,16.63333,690.0,12726.171107901735
1912,-33.28333,148.88333,104000.0,1359.4435518785629
1914,43.73333,1.38333,14000.0,8404.467870437771
1915,41.5,-104.1,37600.0,6870.504765944278
1915,43.03333,-78.03333,6000.0,7340.0467340608375
1916,48.2,43.73333,1773.0,9113.581973107663
1917,37.86667,-100.66667,100000.0,5785.34838534905
1917,44.9,-90.28333,104000.0,7043.564918212493
1918,-33.61667,115.91667,76.6,1029.8454826149377
1918,-33.61667,115.91667,414.0,1029.8454826149377
1918,35.68333,-82.18333,3867.0,5344.073855523757
1918,36.21667,-92.26667,1050.0,5367.229965978972
1919,32.1,71.8,4239.0,5428.188497534519
1919,38.16667,-76.38333,24.3,5518.668900912215
1920,-30.86667,-64.55,1440.0,858.5130962685103
1920,49.09028,11.33333,80000.0,7722.612797730219
1921,-29.75,22.5,11800.0,925.5318745445386
1921,9.66667,105.66667,13100.0,2858.674837311783
1921,33.88333,35.5,1100.0,5076.954021427026
1921,36.71667,-86.56667,9062.0,4859.289302131903
1921,44.51667,-83.95,10600.0,5992.201263239382
1922,-30.5,142.33333,2426.0,980.3763896191609
1923,13.73333,100.08333,23200.0,2927.11710747501
1923,13.76667,5.3,560.0,2671.0511687698395
1924,-22.36667,135.76667,2300000.0,1117.2947887799126
1924,36.48333,-90.66667,3500.0,4273.575428072299
1924,40.35,-104.9,40300.0,4670.189278788354
1925,-30.11667,28.7,7000.0,787.4980027430765
1925,-22.9,138.71667,40800.0,1062.0268952271222
1925,19.08333,8.38333,24000.0,2851.2723798100487
1925,55.95,125.4,410.0,8502.37640322308
1926,-35.01667,139.91667,430.0,740.8264723661025
1926,-21.98333,16.93333,6580.0,928.8966204004082
1926,38.18333,-5.4,5850.0,4490.108192744295
